Name,Slug,Description,Address,City,State,Zip,Phone,Website URL,Google Maps URL,Photo URL,Hours,Specialties,Credentials,Services,Firm Type,Minimum Investment,Fee Structure,Fiduciary,SEC Registered,Rating,Review Count,Status,Date Added,Latitude,Longitude,Year Established,Languages
Retallick Financial Group & Retallick Wealth Management,retallick-financial-group-retallick-wealth-management-fort-myers-fl,"Retallick Financial Group, based in Fort Myers with additional offices in Sarasota, Bonita Springs, and Venice, Florida, serves clients across all ages in retirement planning using insurance products. The firm emphasizes principal protection and low-risk alternatives to traditional market investing, with a stated focus on simplicity and clear fee disclosure during client consultations. Don Retallick leads the firm, which hosts educational seminars on retirement strategies and markets.",9961 Interstate Commerce Dr Suite 160,Fort Myers,Florida,33913,(877) 838-8384,https://retallickfinancial.com/,"https://www.google.com/maps/place/Retallick+Financial+Group+%26+Retallick+Wealth+Management/@26.4947685,-81.7911567,14z/data=!4m8!1m2!2m1!1sRetallick+Financial+Group+%26+Retallick+Wealth+Management!3m4!1s0x88db6bc2b340143d:0x79d611615d07d5e9!8m2!3d26.4947685!4d-81.7911567",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepNAspEOzbQP3sCQ9dqjeVb6bxArInFaDcXuCL8em4iSybc8PI_0j19Em0vH8X0_K3YSFhYS9JdJa4JVpSrqlaEKHHyOv-N8UlrVlR00sqq6p5nnRoP52_eRU6-TWXXHWO9-S6fnhPletnX=w800-h500-k-no,"Sunday: Closed, Monday: 9AM-5PM, Tuesday: 9AM-5PM, Wednesday: 9AM-5PM, Thursday: 9AM-5PM, Friday: 9AM-5PM, Saturday: Closed",Retirement Planning,,,,,,,,4.9,50,Active,3/21/2026,26.4947685,-81.7911567,,English
Blue Chip Financial of Southwest Florida,blue-chip-financial-of-southwest-florida-fort-myers-fl,"Blue Chip Financial of Southwest Florida provides financial planning and risk management services to individuals, families, and business owners in the Fort Myers area, with a stated specialty in estate planning. The firm employs a four-step process—analyzing client circumstances, recommending strategies, implementing solutions, and conducting periodic reviews—and emphasizes a needs-based approach centered on understanding each client's objectives and life stage. Services include financial planning and insurance products, with the firm noting that specific services depend on licensing requirements in each state.",6237 Presidential Ct Suite 110,Fort Myers,Florida,33919,(239) 231-1345,http://www.bcfswf.com/,"https://www.google.com/maps/place/Blue+Chip+Financial+of+Southwest+Florida/@26.559556999999998,-81.8863172,14z/data=!4m8!1m2!2m1!1sBlue+Chip+Financial+of+Southwest+Florida!3m4!1s0x88db3f2a83e5ea2f:0x1d79b317ff85e61c!8m2!3d26.559556999999998!4d-81.8863172",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9TUvfndIRB07jwBxGmAZ2w&cb_client=search.gws-prod.gps&w=800&h=500&yaw=275.49564&pitch=0&thumbfov=100,"Sunday: Closed, Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: Closed",Estate Planning,,Financial Planning,,,,,,5.0,1,Active,3/21/2026,26.5595570,-81.8863172,,English
"Rezny Wealth Management, Inc.",rezny-wealth-management-inc-fort-myers-fl,"Rezny Wealth Management is an independent, fee-only registered investment adviser in Fort Myers, Florida that provides financial planning and investment management services. The firm operates under a fiduciary standard and does not earn commissions, structuring its approach around customized retirement planning, tax reduction strategies, and active portfolio management tailored to individual client circumstances rather than standardized allocations. The firm's service model emphasizes detailed financial planning across all areas of a client's financial situation, combined with ongoing, research-driven investment oversight.",5237 Summerlin Commons Blvd,Fort Myers,Florida,33907,(800) 618-8577,http://reznywealth.com/,"https://www.google.com/maps/place/Rezny+Wealth+Management%2C+Inc./@26.579540899999998,-81.8781776,14z/data=!4m8!1m2!2m1!1sRezny+Wealth+Management%2C+Inc.!3m4!1s0x88db401061a274a7:0xeaaed9d911df856!8m2!3d26.579540899999998!4d-81.8781776",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoKQ1OqetmbFQYl3zr7iJnkuL3PEhlWdVf69Y0h7jfkteg6J-X17t7hqa_IF-R04BrhZGKz-2JmYC49F1kOHTQs7gZfFRQxtjXYs24GZGc-0304DnUB-_R_zh64wmZvcUhPjNKmA-_6P_k1=w800-h500-k-no,"Sunday: Closed, Monday: 8AM-4PM, Tuesday: 8AM-4PM, Wednesday: 8AM-4PM, Thursday: 8AM-4PM, Friday: 8AM-4PM, Saturday: Closed","Investment Management,Wealth Management",,"Financial Planning,Investment Management",Independent RIA,,Fee-Only,checked,,3.4,7,Active,3/21/2026,26.5795409,-81.8781776,,English
Raymond James & Associates,raymond-james-associates-fort-myers-fl,"Raymond James & Associates is an investment advisory firm in Fort Myers, Florida. Services include Financial Planning and Investment Management. The firm specializes in Retirement Planning. The office has a wheelchair-accessible entrance.",14541 Hope Ctr Lp Ste 101,Fort Myers,Florida,33912,(239) 415-8000,https://www.raymondjames.com/ftmyers-branch,"https://www.google.com/maps/place/Raymond+James+%26+Associates/@26.531273799999997,-81.8521356,14z/data=!4m8!1m2!2m1!1sRaymond+James+%26+Associates!3m4!1s0x88db15ff222a7909:0x5e1da572109c9bb0!8m2!3d26.531273799999997!4d-81.8521356",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Yht3vZjr9Do3QthhKoUvMw&cb_client=search.gws-prod.gps&w=800&h=500&yaw=239.06409&pitch=0&thumbfov=100,,Retirement Planning,,"Financial Planning,Investment Management",,,,,,,,Active,3/21/2026,26.5312738,-81.8521356,,English
True Wealth Design,true-wealth-design-fort-myers-fl,"True Wealth Design is a wirehouse firm in Fort Myers, Florida. Services include Financial Planning, Investment Management, and Tax Planning. The firm specializes in Estate Planning, Retirement Planning, and Tax Strategy. The office has a wheelchair-accessible entrance. The office is open five days a week.",5237 Summerlin Commons Blvd Suite 370,Fort Myers,Florida,33907,(239) 344-7145,http://www.truewealthdesign.com/,"https://www.google.com/maps/place/True+Wealth+Design/@26.579595899999997,-81.8782019,14z/data=!4m8!1m2!2m1!1sTrue+Wealth+Design!3m4!1s0x88db41351f8dec5d:0x661be0e222e93207!8m2!3d26.579595899999997!4d-81.8782019",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=yk6eG9Mj9jK3iNDm9M1k1A&cb_client=search.gws-prod.gps&w=800&h=500&yaw=101.2756&pitch=0&thumbfov=100,"Sunday: Closed, Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-3PM, Saturday: Closed","Estate Planning,Investment Management,Retirement Planning,Tax Strategy",,"Financial Planning,Investment Management,Tax Planning",Wirehouse,,,,,,,Active,3/21/2026,26.5795959,-81.8782019,,English
"Gulf Coast Financial Services, Inc.",gulf-coast-financial-services-inc-lake-city-fl,"Gulf Coast Financial Services, Inc. is an investment advisory firm in Lake City, Florida. Services include Financial Planning, Investment Management, and Tax Planning. The firm specializes in Retirement Planning. The office has a wheelchair-accessible entrance. The office is open five days a week.",248 N Marion Ave,Lake City,Florida,32055,(386) 755-9018,http://www.gulfcoastfinancial.net/,"https://www.google.com/maps/place/Gulf+Coast+Financial+Services%2C+Inc./@30.191518,-82.63745999999999,14z/data=!4m8!1m2!2m1!1sGulf+Coast+Financial+Services%2C+Inc.!3m4!1s0x88ef397081cab6db:0xef08bc10bcf28728!8m2!3d30.191518!4d-82.63745999999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqZFdbnDfVgssJDBZ7VKscbE0KgVtmmp01lpVwNOYYah-WwG4tDtg6_YB8hW_EajdOXMMeQMFLpaCnJr-T_t_4PZAO4PHFNBqgaTrqE2koodqLHQgGh6ruBmuUfxiwp6h5HFbQ3hQ=w800-h500-k-no,"Monday: 8AM-5PM, Tuesday: 8AM-5PM, Wednesday: 8AM-5PM, Thursday: 8AM-5PM, Friday: 8AM-5PM, Saturday: Closed, Sunday: Closed",Retirement Planning,,"Financial Planning,Investment Management,Tax Planning",,,,,,,,Active,3/21/2026,30.1915180,-82.6374600,,English
Bush Wealth Management,bush-wealth-management-valdosta-ga,"Bush Wealth Management serves individuals and families with at least $500,000 in investable assets from the Valdosta area, with particular experience serving retirees from local employers. The firm offers financial planning, investment management, and retirement planning using a fee-based model and employs credentialed professionals to address asset allocation, risk management, and estate strategies. Bush Wealth Management focuses on personalized planning aligned to each client's specific goals rather than standardized approaches.",2918 N Oak St b,Valdosta,Georgia,31602,(229) 247-1474,http://www.bushwealthmanagement.com/,"https://www.google.com/maps/place/Bush+Wealth+Management/@30.872857999999997,-83.2924968,14z/data=!4m8!1m2!2m1!1sBush+Wealth+Management!3m4!1s0x88ee67a6f65a8f61:0x5fdbe9b639e756ea!8m2!3d30.872857999999997!4d-83.2924968",https://lh3.googleusercontent.com/gps-cs-s/AHVAweq9M_on2CTdE0jbuTZttAxCOJaCS9c6v43_1SD3QotVbESgr9bOqE26PDeP0URl_IibcsFmqtAlRBcVoip0I3wzFWC5Enc5lppC9hnEcJGnivbBcXiYYZ2FD-LXr-G5Be-9zgNh=w800-h500-k-no,"Monday: 8:30AM-5PM, Tuesday: 8:30AM-5PM, Wednesday: 8:30AM-5PM, Thursday: 8:30AM-5PM, Friday: 8:30AM-1PM, Saturday: Closed, Sunday: Closed",Retirement Planning,,"Financial Planning,Investment Management",,,,,,4.7,27,Active,3/21/2026,30.8728580,-83.2924968,,English
Legacy Partners,legacy-partners-valdosta-ga,"Legacy Partners is a financial advisory firm in Valdosta, Georgia that provides financial planning, investment management, and estate planning services to families and businesses. The firm offers retirement planning, investment planning tailored to different objectives, estate planning to protect assets across generations, and year-round tax planning strategies. Their stated approach centers on understanding clients' values and vision while creating personalized plans aligned with individual financial goals.",201 Woodrow Wilson Dr,Valdosta,Georgia,31602,(229) 929-4065,http://www.legacypartnersga.com/,"https://www.google.com/maps/place/Legacy+Partners/@30.859132499999998,-83.28657989999999,14z/data=!4m8!1m2!2m1!1sLegacy+Partners!3m4!1s0x88ee6755e6352081:0x6429d7d0329d12ef!8m2!3d30.859132499999998!4d-83.28657989999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerivTdFmkrvL_BbOtPuAlnT9Qmp_krFsG4fM2---0fGZl6W_5CMx0jcn3PkkRiMmpf8ggHkShpDK7FsBs2Z0fZCH0JhIKTfrSaoVUfpt8wZYBT2Rrmh1cOp235hEVID1srEKmSBAtv-Png=w800-h500-k-no,Daily: 9AM-5PM,Estate Planning,,"Financial Planning,Investment Management",,,,,,5.0,,Active,3/21/2026,30.8591325,-83.2865799,,English
Financial Identity Advisors,financial-identity-advisors-valdosta-ga,"Financial Identity Advisors provides financial planning services from offices across five regions, including Valdosta, Georgia. The firm has a team of financial advisors with more than 100 years of combined experience and has created over 300 financial plans for clients.",913 N Patterson St,Valdosta,Georgia,31601,(229) 232-8211,https://teamfia.com/,"https://www.google.com/maps/place/Financial+Identity+Advisors/@30.840515999999997,-83.283587,14z/data=!4m8!1m2!2m1!1sFinancial+Identity+Advisors!3m4!1s0x88ee677c451a4881:0x830cb45e96ae6e67!8m2!3d30.840515999999997!4d-83.283587",https://lh3.googleusercontent.com/gps-cs-s/AHVAwept2x7b1EkNijhIKVZcILVBtr-Q6OEN3cDBFe4pV_CXkQJVazhUaqMxyl5HlUCLXFUfHnJJP62W8fPTxNKbYvK4Oj5KdsR53mQ6suXZAFYvOFGG7qyguRIefJYs4q3Mk287TrUf1Q=w800-h500-k-no,Daily: 9AM-5PM,"Investment Management,Retirement Planning",,Financial Planning,,,,,,,,Active,3/21/2026,30.8405160,-83.2835870,,English
Wealth Enhancement Group,wealth-enhancement-group-bradenton-fl,"Wealth Enhancement Group is an independent ria firm in Bradenton, Florida. It acts as a fiduciary. Services include Financial Planning and Investment Management. The firm specializes in Estate Planning. Service options include onsite meetings. The office has a wheelchair-accessible entrance. The office is open five days a week. It holds a 4.9-star rating from 17 Google reviews.",1001 3rd Ave W #450,Bradenton,Florida,34205,(941) 778-1900,https://www.wealthenhancement.com/location/bradenton-fl%3Futm_source%3Dgbp%26utm_medium%3Dorganic%26utm_campaign%3Dlocal-seo%26utm_id%3Dlocal-seo%26utm_content%3Dbradenton-fl%26utm_term%3Dbradenton-fl,"https://www.google.com/maps/place/Wealth+Enhancement+Group/@27.497169799999998,-82.5723098,14z/data=!4m8!1m2!2m1!1sWealth+Enhancement+Group!3m4!1s0x88c3101daa38387f:0x70bc065b21342c3e!8m2!3d27.497169799999998!4d-82.5723098",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepwS7HBBQ4aVrMtvlPKttRSG1Bs-Y25-nov93BxRZjAF7tOiLXCgFcVTfsO9Dqkia0kw8QMOj-1vOMqGKqhz4z9uCkRAQmyHba5H0ldPZW0MrjYsDR8gDBa0uMYFFii_4uLnbGn=w800-h500-k-no,"Sunday: Closed, Monday: 9AM-4PM, Tuesday: 9AM-4PM, Wednesday: 9AM-4PM, Thursday: 9AM-4PM, Friday: 9AM-3PM, Saturday: Closed","Estate Planning,Investment Management",,"Financial Planning,Investment Management",Independent RIA,,,checked,,4.9,17,Active,3/21/2026,27.4971698,-82.5723098,,English
